NAME,RA,DE,SIGMA_RA,SIGMA_DE
J0043.8+3425,10.969,34.429,0.034985239380726015,0.033015648343062386
J0043.8+3425,10.969,34.429,0.034985239380726015,0.033015648343062386
J0045.3+2126,11.349,21.446,0.024484774171200256,0.025544002808904967
J0045.3+2126,11.349,21.446,0.024484774171200256,0.025544002808904967
J0046.7-8419,11.688,-84.32,0.15311965129961702,0.12631458295622502
J0047.0+5658,11.767,56.972,0.04167308606671377,0.03835823276773703
J0047.5-2516,11.887,-25.275,0.09609780749002285,0.06926914208240587
J0048.0+2236,12.013,22.601,0.06543825710925374,0.08064635015077448
J0048.1-6343,12.05,-63.732,0.10013587191992863,0.13717800988347453
J0049.0+4224,12.253,42.413,0.046338277535314866,0.041746432641479744
J0049.7+0237,12.441,2.625,0.06675271968663703,0.06902228196530678
J0049.8-5737,12.463,-57.625,0.056011030122321906,0.05698917248942927
J0050.4-0449,12.621,-4.832,0.10669817268948184,0.10669817268948184
J0050.6-0929,12.674,-9.485,0.026964243783018118,0.026037083889130126
J0050.6-0929,12.674,-9.485,0.026964243783018118,0.026037083889130126
J0050.6-0929,12.674,-9.485,0.026964243783018118,0.026037083889130126
J0051.0-0649,12.766,-6.818,0.06270505659591297,0.05931337470073049
J0051.0-0649,12.766,-6.818,0.06270505659591297,0.05931337470073049
J0051.2-6241,12.82,-62.688,0.026876280191208288,0.028189813667785477
J0051.2-6241,12.82,-62.688,0.026876280191208288,0.028189813667785477
J0051.6+6445,12.904,64.759,0.06671585906570963,0.06491528400897174
J0054.8-2455,13.723,-24.924,0.03297356909360137,0.04124007762539637
J0054.8-2455,13.723,-24.924,0.03297356909360137,0.04124007762539637
J0056.3-2116,14.076,-21.28,0.05699308018594372,0.05100773838124662
J0058.0-3233,14.513,-32.567,0.043785401326710396,0.043264756336296284
J0058.0-3233,14.513,-32.567,0.043785401326710396,0.043264756336296284
J0058.3+3315,14.587,33.267,0.10926904405866739,0.09992635772985767
J0059.0-7242e,14.75,-72.7,0.049001939262019074,0.05499827701804436
J0100.2+0745,15.068,7.766,0.02987344799346639,0.029130348142684403
J0100.2+0745,15.068,7.766,0.02987344799346639,0.029130348142684403
J0100.2+0745,15.068,7.766,0.02987344799346639,0.029130348142684403
J0101.0-6422,15.271,-64.373,0.04000000206663178,0.04000000206663178
J0102.1+0943,15.54,9.728,0.07690595644139811,0.07279063459120119
J0102.1+0943,15.54,9.728,0.07690595644139811,0.07279063459120119
J0102.1+4458,15.537,44.972,0.1476401320465281,0.15319396672882177
J0102.3+4217,15.595,42.289,0.10851696457630587,0.12354784601961641
J0102.8+4840,15.701,48.673,0.036421200894606306,0.03759649089643858
J0102.8+5825,15.704,58.424,0.019000312786344332,0.019999704059023522
J0103.4+5336,15.864,53.615,0.04300465724030547,0.042137869267306345
J0105.1-2415,16.291,-24.259,0.10704681585915994,0.11448136028964523
J0105.3+3928,16.33,39.472,0.09190642472484681,0.08310360715403851
J0106.5+4855,16.627,48.924,0.03217582485707834,0.03383366401012757
J0108.7+0134,17.18,1.579,0.025998807560807986,0.025001243421462628
J0108.7+0134,17.18,1.579,0.025998807560807986,0.025001243421462628
J0109.1+1816,17.278,18.27,0.04636209357298902,0.04368703138864091
J0109.9-4020,17.482,-40.334,0.051938192450633705,0.046069778887092704
J0110.2+6806,17.575,68.115,0.02218675834469604,0.02483440881633212
J0110.2+6806,17.575,68.115,0.02218675834469604,0.02483440881633212
J0112.1+2245,18.027,22.759,0.015098353384252949,0.015907224942733906
J0112.1+2245,18.027,22.759,0.015098353384252949,0.015907224942733906
J0112.1+2245,18.027,22.759,0.015098353384252949,0.015907224942733906
J0112.8+3207,18.21,32.127,0.027985350231761373,0.026015773933869005
J0112.8+3207,18.21,32.127,0.027985350231761373,0.026015773933869005
J0112.9-7506,18.244,-75.105,0.09862689347258422,0.12048956828939997
J0113.4+4948,18.372,49.815,0.05061658686066024,0.05248772587741124
J0114.8+1326,18.716,13.434,0.04399647279673496,0.0410037921917968
J0114.8+1917,18.71,19.295,0.14888047762201212,0.12214583199389677
J0115.7+0356,18.937,3.941,0.04409647338899215,0.044905474571916563
J0115.7+0356,18.937,3.941,0.04409647338899215,0.044905474571916563
J0115.8+2519,18.955,25.33,0.028000003745893755,0.028999998725359927
J0115.8+2519,18.955,25.33,0.028000003745893755,0.028999998725359927
J0116.0-1134,19.013,-11.578,0.06158782629461545,0.05943012674309641
J0116.8+6913,19.22,69.228,0.41701475222079126,0.25775706362748657
J0118.8-2142,19.707,-21.708,0.03548046051488047,0.034541818746614356
