NAME,RA,DE,SIGMA_RA,SIGMA_DE
"S 19,RCW 140",267.02051267,-29.1164049,0.13688960396501207,0.022814934844091188
,267.02061862,-29.13307132,0.02509642858347706,0.022814934844091188
Ru 131,267.24607417,-29.19864521,0.1140746716706884,0.022814934844091188
,267.10852343,-29.19431251,0.06274106890892511,0.045629869688182376
,267.01936863,-29.06752079,0.09240048497117391,0.1140746716706884
,267.01196458,-29.08283472,0.02509642858347706,0.06844480198250603
CO,266.9615359,-29.01668941,0.02509642858347706,0.022814934844091188
17448-2906,267.01265136,-29.12533207,0.02509642858347706,0.022814934844091188
17453-2909,267.14217913,-29.17859342,0.02509642858347706,0.022814934844091188
17445-2900,266.93491993,-29.02542976,0.02509642858347706,0.022814934844091188
,266.35412389,-28.7193523,0.02509642858347706,0.022814934844091188
"S 20,RCW 141",266.79315726,-28.75083523,0.1140746716706884,0.022814934844091188
,266.78622536,-28.77503589,0.02509642858347706,0.022814934844091188
,266.78413995,-28.77476822,0.02509642858347706,0.022814934844091188
FIR 19,266.79742974,-28.76748143,0.023955680438900357,0.011407467422045594
17439-2845,266.78578759,-28.77170463,0.02509642858347706,0.022814934844091188
CH3OH-E,266.78783275,-28.77087803,0.02509642858347706,0.00038024890344415507
CH3OH-E,266.78772179,-28.7711258,0.02509642858347706,0.00038024890344415507
CH3OH-E,266.78771342,-28.77112028,0.02509642858347706,0.00038024890344415507
CH3OH-E,266.78771337,-28.77111195,0.02509642858347706,0.00038024890344415507
CH3OH-E,266.78769266,-28.77113149,0.02509642858347706,0.00038024890344415507
CH3OH-E,266.78769684,-28.77113425,0.02509642858347706,0.00038024890344415507
CH3OH-E,266.78768432,-28.77113153,0.02509642858347706,0.00038024890344415507
CH3OH-E,266.78886771,-28.77110635,0.02509642858347706,0.0007604978068883101
CH3OH-E,266.78803373,-28.77102706,0.02509642858347706,0.0007604978068883101
CH3OH-E,266.78377408,-28.78282568,0.02509642858347706,0.07985226812966786
,266.78972169,-28.77435226,0.02509642858347706,0.00038024890344415507
,266.78915925,-28.77107716,0.02509642858347706,0.00019012445172207753
,266.88874082,-28.77453868,0.02509642858347706,0.011407467422045594
,267.0437098,-28.83128786,0.05589659024053503,0.045629869688182376
,267.02842631,-28.72080471,0.02509642858347706,0.03422240099125302
CO,267.43168472,-28.89635085,0.02509642858347706,0.3422240048129951
FIR 21,267.04449032,-28.95461936,0.026237174178286228,0.011407467422045594
,267.02686465,-28.93526011,0.02509642858347706,0.045629869688182376
,267.04318383,-28.94573666,0.02509642858347706,0.03422240099125302
,267.0268277,-28.92942686,0.02509642858347706,0.03422240099125302
,267.04023859,-28.94130644,0.0422076278042198,0.03422240099125302
,267.03734081,-28.87854173,0.02509642858347706,0.07985226812966786
,267.04155036,-28.95102245,0.02509642858347706,0.011407467422045594
,267.03806699,-28.92742786,0.036503894730638885,0.03422240099125302
,267.04067115,-28.94380438,0.02509642858347706,0.045629869688182376
H2CO,267.04440585,-28.94128622,0.02509642858347706,0.022814934844091188
,267.06939532,-28.93894273,0.02509642858347706,0.0076049780688831016
dark nebula,267.00830906,-28.96646173,0.02509642858347706,0.1140746716706884
17449-2855,267.04361991,-28.94879015,0.02509642858347706,0.022814934844091188
,267.04206764,-28.94715877,0.0010456844446313088,0.0007604978068883101
,266.93559268,-28.86847958,0.05817808143015337,0.045629869688182376
